Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Soil_Type,Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,pH_Amendment
124.3,8.49,33.83,Laterite,Onion,5.98,1109.67,34.93,22.36,0,0.51,55.17,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Sodium Molybdate,Agricultural Lime
92.68,42.68,98.91,Red,Moong,6.04,867.54,28.65,22.71,0,0,25.09,Potassium Nitrate,Borax + Zinc Sulphate,Balance Maintain
109.16,5.08,102.47,Alkaline,Cotton,8.94,1859.3,15.78,34.64,0,0.92,27.53,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Ferrous Sulphate,Gypsum
89.37,16.1,90.39,Red,Soybean,6.58,881.04,15.68,32.41,0,11.9,33.61,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Balance Maintain
106.49,5.06,182.48,Black,Sugarcane,7.75,1064.06,35.59,25.73,8.51,2.94,0,DAP (Di-Ammonium Phosphate),Boric Acid + Sodium Molybdate,Ammonium Sulphate
121.86,6.28,210.17,Alluvial,Cotton,6.43,453.76,20.91,28.41,0,1.32,0,TSP (Triple Super Phosphate),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
120.33,2,164.27,Arid,Maize,9.2,1286.04,8.59,28.81,12.67,4,0,DAP (Di-Ammonium Phosphate),Borax + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
162.15,60.02,138.14,Red,Mustard,7.89,436.11,20.78,22.58,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
27.36,10.36,57.44,Laterite,Wheat,7.5,343.83,33.28,26.02,93.64,0,31.56,Urea + MOP (Muriate of Potash),Borax + Ferrous Sulphate,Balance Maintain
111.11,7.7,99.64,Arid,Wheat,7.67,1016.69,10.59,29.4,21.89,0,14.36,Urea + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Gypsum
36.22,16.86,154.54,Red,Bajra,6.2,795.27,21.72,18.96,35.78,11.14,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Ferrous Sulphate,Balance Maintain
134.21,3.32,129.85,Arid,Chickpea,7.87,1633.57,14.51,28.37,0,2.68,0,DAP (Di-Ammonium Phosphate),Borax + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
68.49,4.68,104.78,Alkaline,Wheat,5.04,254.05,13.98,21.1,21.51,1.32,25.22,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Zinc Sulphate,Hydrated Lime
119.84,10.8,128.87,Laterite,Soybean,5.81,1087.02,28.06,21.78,1.16,0,0,Ammonium Chloride,Boric Acid + Manganese Sulphate,Dolomitic Lime
156.23,4.35,74.98,Laterite,Onion,6.38,1066.36,21.97,33.15,0,4.65,14.02,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
203.72,59.83,199.6,Laterite,Maize,8.11,708.79,20.89,20.55,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
196.62,10.08,151.08,Clayey,Chickpea,6.05,769.87,33.51,19.1,0,0,0,Balanced NPK (14-14-14),Manganese Sulphate + Ammonium Molybdate,Balance Maintain
67.99,5.64,115.72,Alkaline,Wheat,8.53,2448.73,17.31,22.8,22.01,0.36,14.28,Balanced NPK (14-14-14),Ferrous Sulphate + Ammonium Molybdate,Aluminium Sulphate
152.79,7.03,118.48,Black,Cotton,7.86,757.77,20.03,29.95,0,0.97,28.52,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
62.12,47.65,160.05,Red,Sugarcane,6.02,1105.36,16.31,24.58,9.88,0,0,Urea,Copper Sulphate + Sodium Molybdate,Balance Maintain
83.54,2,74.43,Alkaline,Ragi,8.06,1913.69,23,28.83,6.46,4,55.57,Balanced NPK (14-14-14),Borax + Zinc Sulphate,Ferrous Sulphate
70.29,13.03,229.26,Alluvial,Garlic,6.51,635.3,29.95,25.3,39.71,0,0,Urea,Ferrous Sulphate + Sodium Molybdate,Balance Maintain
107.68,5.77,59.89,Arid,Maize,8.76,1319.83,5.04,32.56,25.32,0.23,54.11,Balanced NPK (14-14-14),Borax + Ferrous Sulphate + Zinc Sulphate,Elemental Sulphur
219.28,75.57,196.84,Red,Cotton,8.21,405.51,16.53,23.39,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
80.54,9.12,108.87,Alkaline,Moong,8.36,2077.16,13.88,23.6,9.46,0,21.13,Urea + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Gypsum
86.12,10.22,134.48,Clayey,Rice,6.37,720.49,33.38,20.84,63.88,0,15.52,Urea + MOP (Muriate of Potash),Copper Sulphate + Ammonium Molybdate,Balance Maintain
98.85,9.48,101.31,Alluvial,Cotton,6.23,746.92,23.01,30.03,11.15,0,50.69,Urea + MOP (Muriate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
107.53,3.36,85.56,Arid,Jowar,6.72,130.24,15.82,39.46,25.47,2.64,28.44,Balanced NPK (14-14-14),Boric Acid + Copper Sulphate,Balance Maintain
105.64,52.67,106.29,Black,Bajra,8.42,224.1,21.59,23.87,9.36,0,40.71,Urea + MOP (Muriate of Potash),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
116.36,6.04,45.83,Laterite,Maize,6.56,767.23,17.83,22.37,4.64,2.96,43.17,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Balance Maintain
160.77,15.96,93.27,Laterite,Rice,5.94,596.67,23.41,24.84,0,0,0,Balanced NPK (14-14-14),Boric Acid + Copper Sulphate,Agricultural Lime
62.36,2,201.19,Alluvial,Groundnut,6.67,739.61,23.24,27.78,47.64,5.6,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
91.23,2.04,109.68,Laterite,Sugarcane,5.68,904.24,24.87,32.19,29.77,6.96,0,DAP (Di-Ammonium Phosphate),Borax + Copper Sulphate,Agricultural Lime
204.59,59.04,263.53,Arid,Maize,7.74,218.06,13.89,32.02,0,0,0,Balanced NPK (14-14-14),Borax + Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
93.66,33.3,157.93,Red,Bajra,5.78,828.56,24.45,31.98,0,0,0,Balanced NPK (14-14-14),Manganese Sulphate + Zinc Sulphate,Quicklime
189.27,44.6,105.94,Black,Jowar,7.67,607.78,33.64,28.41,0,0,41.06,Potassium Nitrate,Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
112.94,44.21,290.2,Clayey,Chickpea,8.46,501.97,25.46,28.33,37.06,0,0,Ammonium Chloride,Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
210.34,71.68,162.15,Black,Cotton,8.49,373.27,37.28,28.61,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
126.21,3.32,61.04,Laterite,Barley,6.28,805.87,21.07,30.11,0,5.68,27.96,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Sodium Molybdate,Balance Maintain
155.31,8.34,126.47,Clayey,Mustard,6.64,1108.68,29.98,20.95,0,1.66,23.53,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Sodium Molybdate,Balance Maintain
191.89,46.21,205.98,Red,Barley,7.94,445.38,22.15,19.69,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
130.88,6.83,135.05,Arid,Mustard,8.46,1340.86,9.7,32.72,2.12,0,0,Urea,Boric Acid + Ferrous Sulphate + Zinc Sulphate,Gypsum
96.81,11.73,92.82,Laterite,Wheat,6.18,998.54,32.82,32.02,24.19,0,0,Ammonium Chloride,Ferrous Sulphate + Zinc Sulphate,Balance Maintain
100.02,7.39,229.98,Clayey,Groundnut,6.77,1186.36,39.21,25.97,49.98,2.61,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
103.08,11.86,140.27,Black,Mustard,7.19,1091.89,28.32,32.44,11.92,0,6.73,Urea + MOP (Muriate of Potash),Boric Acid + Manganese Sulphate,Balance Maintain
99.69,12.07,81.98,Red,Rice,6.39,1022.66,17.75,20.78,0,15.93,42.02,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
29.22,13.63,50.01,Alkaline,Sugarcane,6.2,265.8,15.1,32.87,60.78,0,79.99,Urea + MOP (Muriate of Potash),Sodium Molybdate + Zinc Sulphate,Balance Maintain
83.66,2,184.64,Alkaline,Chickpea,8.57,1714.86,20.36,31.84,6.34,4,0,DAP (Di-Ammonium Phosphate),Borax + Manganese Sulphate,Elemental Sulphur
69.43,4.92,86.59,Alkaline,Chickpea,7.91,1995.08,21.2,30.34,20.57,1.08,43.41,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Sodium Molybdate,Ferrous Sulphate
148.65,7.86,143.53,Arid,Chickpea,7.17,1361.86,9.24,34.23,0,0,0,Balanced NPK (14-14-14),Boric Acid + Ferrous Sulphate,Balance Maintain
192.97,76.5,103.13,Laterite,Garlic,8.56,676.68,32.07,29.46,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
78.99,5.13,61.57,Alkaline,Rice,7.34,244.54,23.6,21.16,11.01,0.87,68.43,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
155.53,9.22,89.06,Alluvial,Wheat,6.17,664.63,20.22,26.55,0,0,62.94,Potassium Carbonate,Copper Sulphate + Manganese Sulphate,Balance Maintain
212.47,61.29,309.64,Black,Wheat,8.29,728.32,39.15,25.44,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate,Elemental Sulphur
222.06,53.6,123.45,Red,Jowar,8.48,609.57,17.05,22.7,0,0,0.55,SOP (Sulphate of Potash),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
91.36,13.75,152.19,Alluvial,Wheat,6.56,973.09,29.41,22.34,18.64,0,0,UAN (Urea Ammonium Nitrate),Ferrous Sulphate + Ammonium Molybdate,Balance Maintain
170.05,74.28,186.34,Black,Garlic,8.29,480.96,28.65,31.36,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
52.73,8.18,110.59,Red,Groundnut,7.38,363.38,22.41,19.74,19.27,19.82,13.41,Balanced NPK (14-14-14),Boric Acid + Calcium Chloride,Balance Maintain
136.61,2,93.93,Alluvial,Moong,6.37,805.69,34.88,30.87,0,5.6,58.07,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Zinc Sulphate,Balance Maintain
234.64,50.23,236.94,Black,Groundnut,8.28,236.36,34.14,33.58,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
70.73,29.21,166.01,Red,Mustard,6.46,730.83,19.05,32.03,1.27,0,0,Ammonium Sulphate,Borax + Manganese Sulphate,Balance Maintain
68.07,7.32,137.57,Alkaline,Rice,8.02,1437.25,22.62,32.93,21.93,0,0,Ammonium Chloride,Copper Sulphate + Ammonium Molybdate,Ammonium Sulphate
162.74,10.43,148.06,Arid,Onion,7.95,1318.22,8.95,24.7,0,0,0,Balanced NPK (14-14-14),Borax + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
57.23,3.9,181.99,Alluvial,Barley,7.11,813.26,18.02,29.03,52.77,3.7,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Ammonium Molybdate,Balance Maintain
95.49,2,134.49,Laterite,Ragi,5.46,502.53,23.62,20.24,25.51,7,0,DAP (Di-Ammonium Phosphate),Borax + Zinc Sulphate,Agricultural Lime
115.36,5.26,165.33,Black,Chickpea,6.79,765.82,24.7,25,0,2.74,0,MAP (Mono-Ammonium Phosphate),Manganese Sulphate + Sodium Molybdate,Balance Maintain
137.46,5.24,100.27,Clayey,Ragi,6.68,1007.76,23.87,19.74,12.54,4.76,49.73,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
155.28,9.65,216.01,Black,Moong,6.77,585.46,21.49,26.85,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
93.53,33.47,97.77,Red,Jowar,6.48,1031.21,20.66,18.21,0,0,26.23,SOP (Sulphate of Potash),Copper Sulphate + Ferrous Sulphate,Balance Maintain
102.54,2.47,109.9,Alluvial,Barley,7.11,1218.91,20.8,26.72,7.46,5.13,42.1,Balanced NPK (14-14-14),Boric Acid + Ammonium Molybdate,Balance Maintain
128.01,43,114.17,Red,Groundnut,5.93,990.38,22.33,29.24,0,0,9.83,SOP (Sulphate of Potash),Ammonium Molybdate + Zinc Sulphate,Dolomitic Lime
72.37,10.84,128.01,Red,Rice,6.47,876.34,17,27.26,0,17.16,0,TSP (Triple Super Phosphate),Manganese Sulphate + Zinc Sulphate,Balance Maintain
132.46,2,110.47,Arid,Jowar,7.91,1756.5,13.06,32.24,0.54,4,3.53,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Elemental Sulphur
42.12,15.26,182.28,Alluvial,Jowar,6.39,1154.33,29.16,18.95,67.88,0,0,Ammonium Nitrate,Borax + Copper Sulphate,Balance Maintain
71.25,10.54,117.2,Arid,Cotton,6.95,355.93,10.88,36.61,61.75,0,0,Ammonium Nitrate,Copper Sulphate + Zinc Sulphate,Balance Maintain
35.11,13.27,94.61,Clayey,Barley,6.39,728.08,20.62,26.83,114.89,0,55.39,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
217.82,41.84,147.67,Black,Mustard,7.92,444.8,27.65,21.83,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
52.3,36.07,113.67,Red,Mustard,6.57,823.62,15.13,26.27,19.7,0,10.33,Urea + MOP (Muriate of Potash),Sodium Molybdate + Zinc Sulphate,Balance Maintain
87.49,16.34,126.52,Red,Garlic,6.49,714.37,15.55,25.83,0,11.66,0,MAP (Mono-Ammonium Phosphate),Boric Acid + Copper Sulphate,Balance Maintain
237.13,11.25,154.05,Clayey,Barley,6.31,1138.66,22.53,20.37,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Zinc Sulphate,Balance Maintain
114.98,4.46,212.97,Black,Garlic,7.37,902.41,21.84,26.33,0.02,3.54,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Ammonium Molybdate,Balance Maintain
147.18,79.77,261.38,Alkaline,Rice,7.98,433.25,22.44,27.83,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
63.8,34.79,97.01,Red,Onion,5.88,408.37,17.21,33.91,8.2,0,26.99,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Ammonium Molybdate,Wood Ash
99.07,6.63,160.32,Alkaline,Maize,8.59,2500,23.23,29.08,0,0,0,Balanced NPK (14-14-14),Manganese Sulphate + Ammonium Molybdate,Elemental Sulphur
120.07,3.82,138.55,Arid,Cotton,7.96,1874.42,16.36,27.58,12.93,2.18,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Ammonium Molybdate,Ammonium Sulphate
127.18,5.21,174.58,Black,Moong,7.51,796.16,32.24,31.56,0,2.79,0,TSP (Triple Super Phosphate),Borax + Manganese Sulphate,Elemental Sulphur
94.97,4.63,94.53,Black,Bajra,5.64,201.74,31.13,21.9,20.03,3.37,52.47,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate,Hydrated Lime
163.47,4.26,224.6,Black,Garlic,7.84,1086.03,38.69,25.04,0,3.74,0,SSP (Single Super Phosphate),Ammonium Molybdate + Zinc Sulphate,Gypsum
72.36,36.36,49.11,Red,Garlic,6.09,742.13,18.46,21.57,0,0,74.89,Potassium Carbonate,Boric Acid + Ferrous Sulphate,Balance Maintain
74.02,14.58,73.32,Laterite,Groundnut,5.94,815.62,19.4,33.11,46.98,0,15.68,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Quicklime
230.67,69.19,229.5,Clayey,Chickpea,8.59,661.94,38.94,26.42,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
91.89,6.79,139.47,Alluvial,Jowar,5.79,1014.42,33.47,26.56,18.11,0.81,12.53,Balanced NPK (14-14-14),Manganese Sulphate + Zinc Sulphate,Wood Ash
13.97,5.89,96.62,Alkaline,Mustard,9.1,2013.25,24.93,23.17,76.03,0.11,33.38,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Elemental Sulphur
160.54,8.27,167.87,Clayey,Soybean,6.13,873.07,32.47,24.56,0,1.73,0,Rock Phosphate,Manganese Sulphate + Ammonium Molybdate,Balance Maintain
174.36,12.83,49.21,Laterite,Chickpea,6.35,950.67,24.8,34.81,0,0,39.79,Potassium Carbonate,Boric Acid + Manganese Sulphate,Balance Maintain
72.8,10.87,52.52,Black,Barley,5.71,173.98,36.03,23.31,42.2,0,94.48,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Zinc Sulphate,Wood Ash
181.82,11.55,109.94,Arid,Mustard,8.48,1904.32,17.99,29.07,0,0,4.06,Potassium-Magnesium Sulphate,Boric Acid + Zinc Sulphate,Ferrous Sulphate
150.54,10.93,128.8,Black,Barley,7.29,1221.04,28.63,32.09,0,0,18.2,SOP (Sulphate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
171.13,8.57,158.12,Arid,Garlic,7.82,877.17,11.51,35.21,0,0,0,Balanced NPK (14-14-14),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Gypsum
69.95,6.51,119.47,Alkaline,Groundnut,7.73,2154.83,17.36,21.87,20.05,0,10.53,Urea + MOP (Muriate of Potash),Ammonium Molybdate + Zinc Sulphate,Ammonium Sulphate
167.58,3.56,84.63,Arid,Sugarcane,7.76,1737.86,11.97,34.07,0,2.44,29.37,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
119.92,14.39,111.82,Arid,Maize,7.41,311.25,16.39,37.53,13.08,0,2.18,Urea + MOP (Muriate of Potash),Copper Sulphate + Ammonium Molybdate,Balance Maintain
112.47,9.95,97.95,Black,Moong,6.06,1213.72,37.41,26.39,2.53,0,49.05,Urea + MOP (Muriate of Potash),Manganese Sulphate + Ammonium Molybdate,Balance Maintain
145.47,6.37,70.16,Laterite,Onion,5.66,1053.26,22.99,24.39,0,2.63,18.84,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Sodium Molybdate,Hydrated Lime
78.26,14.51,99.44,Red,Ragi,5.32,1063.57,19.72,23.48,0,13.49,24.56,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Manganese Sulphate,Agricultural Lime
57.14,23.32,65.22,Red,Onion,6.98,256.12,29.51,32.48,14.86,4.68,58.78,Balanced NPK (14-14-14),Ferrous Sulphate + Ammonium Molybdate,Balance Maintain
99.45,8.34,112.81,Black,Soybean,7.08,684.11,36.75,33.2,15.55,0,34.19,Urea + MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Balance Maintain
218.85,5.52,44.19,Clayey,Rice,5.98,1004.35,38.55,24.06,0,4.48,105.81,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Manganese Sulphate,Agricultural Lime
222.04,48.77,131.58,Alluvial,Barley,7.77,537.72,29.42,25.97,0,0,20.42,Potassium-Magnesium Sulphate,Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ferrous Sulphate
87.43,9.04,50.21,Black,Soybean,6.85,983.61,39.67,31.55,27.57,0,96.79,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
68.95,29.26,95.06,Red,Maize,6.7,789.12,15.83,21.15,3.05,0,28.94,Urea + MOP (Muriate of Potash),Borax + Ammonium Molybdate,Balance Maintain
69.43,7.48,194.08,Alluvial,Chickpea,6.72,675.74,32.93,19.93,40.57,0.12,0,DAP (Di-Ammonium Phosphate),Manganese Sulphate + Ammonium Molybdate,Balance Maintain
137.88,5.82,63.22,Alkaline,Soybean,8.74,1629.96,23.63,27.46,0,0.18,66.78,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ammonium Molybdate + Zinc Sulphate,Ammonium Sulphate
122.59,5.3,71.13,Arid,Groundnut,7.79,1610.24,13.72,27.24,10.41,0.7,42.87,Balanced NPK (14-14-14),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
99.66,11.49,107.69,Laterite,Groundnut,5.63,894.43,33.37,30.03,21.34,0,0,Urea,Manganese Sulphate + Ammonium Molybdate,Dolomitic Lime
81.05,7.27,103.53,Laterite,Ragi,5.62,215.85,24.71,31.04,39.95,1.73,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Ferrous Sulphate,Hydrated Lime
104.3,6.47,107.84,Arid,Chickpea,7.84,753.85,14.77,25.51,28.7,0,6.16,Urea + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Gypsum
93.02,10.61,185.78,Alluvial,Onion,6.64,595.3,34.34,20.7,16.98,0,0,Ammonium Nitrate,Ferrous Sulphate + Manganese Sulphate,Balance Maintain
196.97,63.64,111.42,Laterite,Onion,8.51,648.98,24.57,30.82,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Ammonium Sulphate
118.66,12.41,118.26,Black,Onion,6.83,905.63,22.47,25.39,0,0,28.74,SOP (Sulphate of Potash),Manganese Sulphate + Zinc Sulphate,Balance Maintain
120.3,12.08,78.66,Laterite,Sugarcane,6.06,898.1,29.74,32.76,0.7,0,10.34,Urea + MOP (Muriate of Potash),Sodium Molybdate + Zinc Sulphate,Balance Maintain
83.11,5,125.68,Alkaline,Wheat,8.06,1289.82,11.95,29.83,6.89,1,4.32,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
67.93,2.66,108.06,Alkaline,Soybean,5.58,239.46,19.71,24.41,22.07,3.34,21.94,Balanced NPK (14-14-14),Ferrous Sulphate + Manganese Sulphate,Agricultural Lime
100.14,11.34,97.97,Laterite,Bajra,5.7,269.85,16.88,32.84,20.86,0,0,Ammonium Chloride,Manganese Sulphate + Zinc Sulphate,Wood Ash
104.32,7.15,185.5,Alkaline,Chickpea,8.53,1715.33,14.65,20.24,0,0,0,Balanced NPK (14-14-14),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
84.61,9.62,118.53,Arid,Chickpea,7.96,1142.7,9.26,35.25,48.39,0,0,UAN (Urea Ammonium Nitrate),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ferrous Sulphate
123.09,7.23,161.04,Alkaline,Cotton,8,2027.03,22.79,31.99,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Zinc Sulphate,Ferrous Sulphate
181.85,62.77,282.22,Clayey,Sugarcane,8.12,645.36,37.12,25.1,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
105.46,5.02,84.4,Laterite,Garlic,6.56,267.23,33.3,20.24,15.54,3.98,4.6,Balanced NPK (14-14-14),Ferrous Sulphate + Sodium Molybdate,Balance Maintain
119.76,7.09,96.13,Clayey,Groundnut,6.12,1153.9,32.74,21.38,30.24,2.91,53.87,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Calcium Chloride,Balance Maintain
141.77,6.83,146.55,Arid,Mustard,7.76,947.81,16.85,35.3,0,0,0,Balanced NPK (14-14-14),Borax + Sodium Molybdate,Aluminium Sulphate
76.9,8.76,119.82,Black,Ragi,7.39,1078.79,25.28,22.97,38.1,0,27.18,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
157.05,6.81,123.62,Black,Barley,7.15,609.19,31.98,28.21,0,1.19,23.38,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
101.48,13.88,63.04,Laterite,Rice,6.6,255.72,16.57,21.8,19.52,0,25.96,Urea + MOP (Muriate of Potash),Boric Acid + Copper Sulphate,Balance Maintain
103.81,14.16,132.14,Alluvial,Cotton,7.11,813.21,31.08,26.91,6.19,0,19.86,Urea + MOP (Muriate of Potash),Copper Sulphate + Manganese Sulphate,Balance Maintain
177.83,78.89,275.3,Red,Rice,8.44,440.82,20.72,32.87,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Gypsum
29.48,13.98,217.96,Clayey,Garlic,6.65,1318.88,23.18,22.47,120.52,0,0,Ammonium Sulphate,Copper Sulphate + Ferrous Sulphate,Balance Maintain
134.57,10.16,219.99,Clayey,Mustard,6.35,1003.74,23.53,29.29,15.43,0,0,Ammonium Chloride,Borax + Ammonium Molybdate,Balance Maintain
53.41,6.89,55.59,Laterite,Jowar,6.65,342.34,25.18,28.36,67.59,2.11,33.41,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate,Balance Maintain
199.54,10.23,142.22,Clayey,Wheat,6.01,1052.25,22.99,20.04,0,0,7.78,Potassium-Magnesium Sulphate,Borax + Ferrous Sulphate,Balance Maintain
118.26,8.71,70.3,Black,Rice,7.33,671.46,39.96,30.57,0,0,76.7,Potassium Carbonate,Borax + Manganese Sulphate,Balance Maintain
115.99,13.63,136.51,Laterite,Barley,5.32,908.17,19.53,28.24,5.01,0,0,UAN (Urea Ammonium Nitrate),Ferrous Sulphate + Sodium Molybdate,Wood Ash
142.69,8.37,155.56,Black,Onion,6.63,1011.48,24.01,21.02,0,0,0,Balanced NPK (14-14-14),Boric Acid + Copper Sulphate,Balance Maintain
81.21,2.47,113.92,Red,Mustard,5.12,299.36,16.19,32.51,0,25.53,10.08,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Manganese Sulphate + Sodium Molybdate,Quicklime
112.63,8.2,131.94,Alkaline,Ragi,8.11,1537.51,21.62,28.07,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Ferrous Sulphate,Aluminium Sulphate
92.64,8.21,95.78,Alluvial,Garlic,6.64,789.1,22.52,29.04,17.36,0,56.22,Urea + MOP (Muriate of Potash),Manganese Sulphate + Sodium Molybdate,Balance Maintain
