Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,pH_Amendment
189,17,73,Rice,8.12,1647,79,18,Optimal,Optimal,Low,urea,Gypsum
148,20,66,Onion,6.91,1812,61,24,Low,Optimal,Low,ammonium_nitrate,Agricultural Lime
43,18,124,Cotton,5.68,3230,52,22,Low,Optimal,Optimal,triple_super_phosphate_tsp,Aluminium Sulphate
182,23,117,Mustard,8.37,1528,57,21,Optimal,Low,Low,single_super_phosphate_ssp,Elemental Sulphur
183,21,185,Mustard,6.93,1884,65,18,Low,Optimal,Optimal,triple_super_phosphate_tsp,Hydrated Lime
168,31,85,Bajra,6.13,1945,77,30,Low,Low,Optimal,single_super_phosphate_ssp,Elemental Sulphur
152,11,152,Ragi,8.13,1433,53,19,Low,Low,Low,potassium_magnesium_sulphate,Ferrous Sulphate
61,17,167,Ragi,8.44,2477,73,29,Optimal,Low,Low,monoammonium_phosphate_map,Dolomite
158,25,98,Moong,7.63,2565,69,21,Low,Low,Optimal,potassium_nitrate,Quicklime
110,12,174,Groundnut,6.13,2448,64,21,Optimal,Low,Low,diammonium_phosphate_dap,Gypsum
89,27,95,Onion,7.23,994,79,23,Low,Optimal,Optimal,potassium_magnesium_sulphate,Wood Ash
47,13,166,Chickpea,6.07,1411,77,16,Low,Low,Optimal,urea_dap_mixture,Quicklime
189,18,149,Chickpea,6.54,2364,66,15,Optimal,Optimal,Optimal,urea_ammonium_nitrate_uan,Balance Maintain
183,29,61,Onion,6.15,2621,51,28,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Ferrous Sulphate
125,14,106,Ragi,6.3,2018,72,23,Low,Low,Optimal,dap_mop_mixture,Hydrated Lime
87,18,172,Onion,6.51,3318,53,27,Low,Optimal,Optimal,potassium_nitrate,Quicklime
70,18,80,Soybean,6.85,1523,74,15,Optimal,Low,Low,sulphate_of_potash_sop,Aluminium Sulphate
41,12,68,Maize,6.64,1443,64,29,Optimal,Optimal,Optimal,potassium_carbonate,Agricultural Lime
197,18,164,Chickpea,8.21,1634,56,16,Low,Low,Low,ammonium_sulphate,Ferrous Sulphate
113,13,77,Soybean,6.7,3056,61,16,Low,Optimal,Low,muriate_of_potash_mop,Gypsum
183,12,111,Sugarcane,6.59,3374,72,24,Low,Optimal,Optimal,calcium_ammonium_nitrate_can,Balance Maintain
125,14,172,Wheat,6.97,2736,74,17,Low,Low,Low,calcium_ammonium_nitrate_can,Agricultural Lime
165,32,118,Mustard,8.21,2054,70,28,Optimal,Low,Low,dap_mop_mixture,Elemental Sulphur
188,18,133,Bajra,5.95,1951,55,25,Low,Low,Low,muriate_of_potash_mop,Dolomite
117,18,79,Cotton,6.1,2431,74,26,Optimal,Optimal,Low,ammonium_nitrate,Ammonium Sulphate
126,25,83,Jowar,6.95,2064,70,26,Low,Low,Optimal,sulphate_of_potash_sop,Ammonium Sulphate
194,13,114,Ragi,6.21,3387,72,21,Low,Optimal,Low,diammonium_phosphate_dap,Hydrated Lime
78,15,184,Moong,6.65,2987,51,21,Optimal,Low,Optimal,urea_dap_mixture,Ferrous Sulphate
147,14,78,Moong,6.14,2274,59,24,Low,Optimal,Optimal,urea,Agricultural Lime
50,13,158,Jowar,6.75,1006,69,24,Low,Low,Low,potassium_carbonate,Aluminium Sulphate
76,21,157,Mustard,6.84,1595,50,27,Low,Low,Low,ammonium_sulphate,Ferrous Sulphate
92,33,166,Garlic,6.36,1762,69,26,Low,Low,Optimal,diammonium_phosphate_dap,Ammonium Sulphate
138,30,71,Garlic,6.44,1066,72,23,Low,Optimal,Low,urea_ammonium_nitrate_uan,Balance Maintain
53,21,109,Soybean,6.6,1565,71,18,Optimal,Low,Low,triple_super_phosphate_tsp,Wood Ash
42,15,147,Garlic,7.79,2147,61,29,Low,Optimal,Low,urea_ammonium_nitrate_uan,Quicklime
103,31,74,Sugarcane,6.34,1394,76,18,Optimal,Low,Optimal,dap_mop_mixture,Dolomite
140,22,83,Sugarcane,6.16,2776,63,23,Optimal,Optimal,Low,urea_mop_mixture,Ferrous Sulphate
128,28,133,Jowar,6.85,1579,59,19,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Agricultural Lime
159,32,93,Rice,6.81,3113,53,18,Optimal,Low,Low,balanced_npk_maintenance,Ferrous Sulphate
67,24,159,Moong,6.99,1267,52,21,Optimal,Optimal,Low,ammonium_sulphate,Wood Ash
88,27,83,Bajra,7.59,1364,54,24,Low,Optimal,Low,triple_super_phosphate_tsp,Gypsum
118,27,163,Chickpea,7.9,899,79,21,Low,Optimal,Low,diammonium_phosphate_dap,Hydrated Lime
83,18,104,Maize,7.39,3471,74,29,Low,Optimal,Optimal,rock_phosphate,Aluminium Sulphate
98,11,98,Soybean,5.59,2003,51,27,Optimal,Low,Optimal,sulphate_of_potash_sop,Agricultural Lime
183,11,189,Ragi,6.63,915,77,25,Optimal,Optimal,Low,single_super_phosphate_ssp,Aluminium Sulphate
58,25,171,Rice,6.92,2824,53,18,Low,Low,Optimal,triple_super_phosphate_tsp,Balance Maintain
148,33,150,Ragi,8.3,2568,78,21,Low,Low,Low,potassium_carbonate,Agricultural Lime
142,14,141,Wheat,7.51,3377,63,29,Low,Low,Optimal,calcium_ammonium_nitrate_can,Gypsum
162,28,119,Garlic,7.67,2032,72,27,Optimal,Low,Low,balanced_npk_maintenance,Ferrous Sulphate
195,35,98,Maize,5.89,2628,51,22,Optimal,Low,Low,muriate_of_potash_mop,Gypsum
51,17,102,Moong,6.66,2442,62,22,Low,Low,Optimal,calcium_ammonium_nitrate_can,Balance Maintain
78,22,104,Moong,8.43,1705,53,18,Optimal,Low,Optimal,monoammonium_phosphate_map,Elemental Sulphur
80,21,75,Rice,5.55,3019,58,25,Optimal,Low,Optimal,ammonium_sulphate,Hydrated Lime
88,32,186,Mustard,7.55,3326,62,30,Optimal,Optimal,Optimal,monoammonium_phosphate_map,Dolomite
120,14,131,Wheat,7.65,2539,71,22,Low,Low,Optimal,potassium_magnesium_sulphate,Agricultural Lime
196,25,112,Barley,6.4,3150,72,24,Optimal,Optimal,Optimal,calcium_ammonium_nitrate_can,Hydrated Lime
93,20,172,Jowar,6.53,2157,50,23,Optimal,Low,Optimal,urea_dap_mixture,Ammonium Sulphate
45,17,180,Soybean,8.37,1105,69,17,Optimal,Low,Optimal,sulphate_of_potash_sop,Hydrated Lime
145,35,143,Rice,8.2,2284,74,24,Optimal,Optimal,Low,potassium_nitrate,Quicklime
107,11,147,Garlic,6.55,2461,50,23,Low,Optimal,Low,triple_super_phosphate_tsp,Elemental Sulphur
73,12,125,Rice,6.33,2502,72,30,Low,Optimal,Optimal,urea_ammonium_nitrate_uan,Elemental Sulphur
88,28,195,Ragi,8.27,1995,54,30,Low,Optimal,Low,urea_mop_mixture,Elemental Sulphur
82,27,179,Garlic,6.9,1594,64,22,Low,Optimal,Optimal,potassium_carbonate,Hydrated Lime
43,27,197,Onion,6.44,2831,58,30,Low,Optimal,Optimal,dap_mop_mixture,Aluminium Sulphate
71,19,64,Mustard,7.41,2161,59,24,Low,Low,Low,urea,Gypsum
107,29,89,Ragi,7.37,1930,80,29,Low,Low,Optimal,urea,Elemental Sulphur
88,31,171,Maize,6.1,3313,51,26,Low,Optimal,Optimal,potassium_nitrate,Agricultural Lime
54,19,172,Bajra,7.55,1781,79,15,Optimal,Optimal,Optimal,balanced_npk_maintenance,Elemental Sulphur
121,18,158,Bajra,8.15,3255,60,19,Low,Low,Low,muriate_of_potash_mop,Wood Ash
45,23,185,Bajra,6.32,2509,58,24,Optimal,Low,Low,muriate_of_potash_mop,Ammonium Sulphate
86,21,110,Cotton,8.39,821,55,28,Low,Optimal,Optimal,ammonium_nitrate,Elemental Sulphur
45,32,99,Sugarcane,7.47,2608,67,28,Optimal,Low,Optimal,dap_mop_mixture,Quicklime
110,20,133,Chickpea,7.74,2521,77,27,Optimal,Low,Optimal,potassium_carbonate,Hydrated Lime
125,16,131,Cotton,6.97,3169,76,19,Optimal,Low,Low,urea_ammonium_nitrate_uan,Dolomite
182,32,147,Onion,8.38,2181,80,26,Optimal,Optimal,Low,potassium_nitrate,Hydrated Lime
170,10,147,Moong,8.46,3114,62,25,Optimal,Low,Low,potassium_carbonate,Ammonium Sulphate
87,18,123,Groundnut,8.0,2373,72,26,Optimal,Low,Optimal,ammonium_nitrate,Agricultural Lime
127,21,137,Sugarcane,6.3,1861,67,21,Optimal,Low,Optimal,triple_super_phosphate_tsp,Aluminium Sulphate
43,11,144,Soybean,5.94,3361,79,21,Low,Optimal,Optimal,urea_dap_mixture,Hydrated Lime
192,19,171,Soybean,8.49,2387,55,29,Optimal,Optimal,Optimal,diammonium_phosphate_dap,Agricultural Lime
126,10,103,Mustard,8.47,856,69,30,Low,Low,Low,calcium_ammonium_nitrate_can,Quicklime
67,23,180,Chickpea,8.01,3017,73,15,Low,Optimal,Optimal,muriate_of_potash_mop,Wood Ash
105,12,135,Garlic,7.95,990,52,27,Low,Optimal,Optimal,muriate_of_potash_mop,Dolomite
119,16,102,Groundnut,5.78,3091,68,27,Low,Low,Low,balanced_npk_maintenance,Quicklime
103,15,115,Wheat,5.75,2040,63,15,Optimal,Low,Optimal,potassium_magnesium_sulphate,Quicklime
92,32,151,Garlic,7.26,2734,64,28,Low,Optimal,Optimal,single_super_phosphate_ssp,Quicklime
189,26,112,Garlic,8.43,3349,61,21,Optimal,Low,Low,potassium_magnesium_sulphate,Agricultural Lime
42,29,93,Ragi,8.47,2059,76,21,Low,Low,Low,potassium_magnesium_sulphate,Ammonium Sulphate
112,35,132,Bajra,7.23,1629,58,29,Optimal,Optimal,Low,urea_ammonium_nitrate_uan,Gypsum
101,11,113,Bajra,7.93,3120,63,21,Low,Low,Low,balanced_npk_maintenance,Balance Maintain
40,22,63,Garlic,6.62,2828,78,30,Optimal,Optimal,Low,ammonium_sulphate,Dolomite
144,12,73,Bajra,6.62,3011,64,28,Low,Optimal,Optimal,monoammonium_phosphate_map,Ferrous Sulphate
185,25,141,Garlic,7.34,1293,62,27,Optimal,Low,Optimal,potassium_carbonate,Elemental Sulphur
83,14,84,Moong,7.33,2226,78,19,Low,Optimal,Optimal,single_super_phosphate_ssp,Wood Ash
123,24,176,Barley,7.45,1836,60,29,Low,Optimal,Low,urea,Gypsum
176,13,101,Bajra,6.27,899,58,19,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Ammonium Sulphate
178,25,176,Mustard,6.75,1298,60,26,Low,Optimal,Optimal,diammonium_phosphate_dap,Agricultural Lime
192,28,177,Mustard,5.64,973,60,23,Optimal,Low,Optimal,urea_dap_mixture,Hydrated Lime
198,26,76,Bajra,6.87,2223,66,21,Optimal,Low,Optimal,ammonium_chloride,Ferrous Sulphate
47,21,183,Garlic,7.95,2914,80,23,Optimal,Optimal,Optimal,triple_super_phosphate_tsp,Aluminium Sulphate
145,28,83,Cotton,6.52,1304,59,22,Optimal,Optimal,Optimal,triple_super_phosphate_tsp,Ammonium Sulphate
175,32,162,Wheat,8.4,3275,77,19,Optimal,Low,Optimal,urea_dap_mixture,Wood Ash
150,35,134,Cotton,6.33,1618,50,26,Optimal,Low,Optimal,muriate_of_potash_mop,Agricultural Lime
156,31,114,Groundnut,7.44,1567,74,20,Optimal,Optimal,Optimal,triple_super_phosphate_tsp,Balance Maintain
195,30,88,Mustard,7.2,1273,75,30,Low,Low,Optimal,dap_mop_mixture,Elemental Sulphur
137,21,168,Sugarcane,6.82,2781,50,19,Low,Optimal,Low,urea_dap_mixture,Agricultural Lime
177,26,66,Sugarcane,7.89,1728,68,30,Low,Low,Optimal,potassium_nitrate,Agricultural Lime
164,25,63,Ragi,5.51,1193,71,19,Low,Optimal,Optimal,diammonium_phosphate_dap,Ammonium Sulphate
198,26,160,Wheat,6.6,2598,60,15,Low,Low,Low,diammonium_phosphate_dap,Aluminium Sulphate
140,30,65,Onion,6.27,1347,56,17,Optimal,Low,Low,balanced_npk_maintenance,Ammonium Sulphate
91,32,166,Rice,6.94,2428,75,25,Optimal,Low,Optimal,urea_ammonium_nitrate_uan,Hydrated Lime
55,23,185,Moong,8.03,1322,50,28,Low,Low,Optimal,urea_ammonium_nitrate_uan,Hydrated Lime
112,29,200,Cotton,5.96,2992,53,16,Optimal,Optimal,Low,potassium_nitrate,Aluminium Sulphate
98,13,105,Wheat,8.27,2708,67,17,Optimal,Optimal,Low,potassium_nitrate,Wood Ash
164,34,112,Barley,7.16,925,67,16,Optimal,Low,Optimal,triple_super_phosphate_tsp,Agricultural Lime
90,12,149,Onion,7.22,2813,76,15,Low,Low,Optimal,calcium_ammonium_nitrate_can,Ammonium Sulphate
67,23,190,Mustard,6.19,1376,62,30,Optimal,Low,Low,triple_super_phosphate_tsp,Agricultural Lime
199,10,88,Groundnut,7.51,1088,69,17,Low,Low,Low,balanced_npk_maintenance,Ammonium Sulphate
47,29,73,Chickpea,6.7,2224,53,24,Low,Low,Low,potassium_nitrate,Gypsum
122,27,129,Mustard,6.15,971,59,23,Low,Low,Low,triple_super_phosphate_tsp,Dolomite
186,29,96,Onion,6.69,2015,68,15,Optimal,Optimal,Optimal,potassium_magnesium_sulphate,Ferrous Sulphate
141,29,92,Sugarcane,8.02,1696,67,17,Optimal,Low,Low,diammonium_phosphate_dap,Dolomite
48,18,136,Barley,6.39,1656,55,23,Optimal,Low,Low,diammonium_phosphate_dap,Dolomite
99,26,131,Sugarcane,7.96,3020,77,30,Optimal,Low,Low,potassium_magnesium_sulphate,Elemental Sulphur
97,24,168,Ragi,8.04,1821,60,30,Low,Optimal,Low,balanced_npk_maintenance,Elemental Sulphur
116,15,110,Jowar,8.46,2979,77,16,Optimal,Optimal,Low,urea_mop_mixture,Balance Maintain
166,28,197,Chickpea,6.67,2227,60,28,Low,Optimal,Optimal,ammonium_chloride,Gypsum
137,30,199,Ragi,5.53,2276,54,15,Low,Low,Optimal,ammonium_sulphate,Gypsum
136,33,118,Jowar,7.21,1616,63,27,Optimal,Optimal,Low,urea_mop_mixture,Balance Maintain
109,29,192,Wheat,7.23,3006,74,27,Low,Optimal,Optimal,urea_mop_mixture,Balance Maintain
112,18,195,Bajra,6.86,2306,67,21,Low,Low,Optimal,ammonium_nitrate,Ammonium Sulphate
65,22,159,Sugarcane,8.05,3032,59,22,Optimal,Optimal,Optimal,urea_dap_mixture,Aluminium Sulphate
171,30,156,Groundnut,7.76,2917,71,20,Low,Low,Optimal,muriate_of_potash_mop,Ferrous Sulphate
162,21,60,Moong,6.31,1751,60,24,Optimal,Optimal,Low,calcium_ammonium_nitrate_can,Wood Ash
119,21,115,Ragi,6.91,3134,51,20,Optimal,Optimal,Low,balanced_npk_maintenance,Aluminium Sulphate
167,17,144,Mustard,6.98,2520,66,27,Optimal,Low,Low,urea_mop_mixture,Wood Ash
107,14,73,Groundnut,7.76,1407,71,29,Low,Low,Optimal,single_super_phosphate_ssp,Aluminium Sulphate
182,31,112,Sugarcane,5.69,3380,53,22,Low,Low,Optimal,dap_mop_mixture,Hydrated Lime
85,12,157,Sugarcane,6.6,3068,70,28,Low,Optimal,Optimal,potassium_magnesium_sulphate,Ferrous Sulphate
162,30,122,Mustard,6.94,2659,53,24,Low,Low,Low,potassium_magnesium_sulphate,Balance Maintain
166,13,95,Wheat,5.77,1798,73,29,Low,Optimal,Low,potassium_magnesium_sulphate,Hydrated Lime
174,19,196,Maize,6.47,2169,76,15,Optimal,Low,Low,ammonium_nitrate,Hydrated Lime
140,20,126,Rice,8.22,2667,54,15,Low,Optimal,Low,muriate_of_potash_mop,Ammonium Sulphate
90,33,152,Jowar,7.98,1749,67,25,Optimal,Low,Optimal,dap_mop_mixture,Ferrous Sulphate
70,10,88,Onion,6.24,1301,72,20,Low,Optimal,Low,sulphate_of_potash_sop,Agricultural Lime
68,15,104,Soybean,7.71,2258,60,27,Optimal,Optimal,Low,muriate_of_potash_mop,Agricultural Lime
99,29,138,Mustard,7.37,3173,63,15,Low,Low,Optimal,balanced_npk_maintenance,Balance Maintain
120,21,109,Moong,5.68,2926,66,23,Optimal,Low,Low,diammonium_phosphate_dap,Ammonium Sulphate
93,14,90,Soybean,6.25,1219,71,23,Low,Low,Optimal,dap_mop_mixture,Agricultural Lime
148,12,64,Groundnut,6.8,1205,78,22,Low,Low,Optimal,urea,Quicklime
194,33,135,Chickpea,7.17,2467,70,23,Optimal,Low,Low,balanced_npk_maintenance,Dolomite
171,31,184,Onion,6.63,1279,51,18,Low,Low,Optimal,urea_dap_mixture,Quicklime
52,16,163,Cotton,8.1,2246,56,19,Low,Low,Optimal,urea,Quicklime
133,22,82,Cotton,7.26,1360,70,28,Low,Low,Low,rock_phosphate,Ammonium Sulphate
152,23,165,Garlic,7.66,2578,60,29,Optimal,Low,Optimal,sulphate_of_potash_sop,Wood Ash
79,18,92,Jowar,8.47,2672,55,24,Low,Optimal,Optimal,ammonium_nitrate,Quicklime
85,21,106,Moong,7.83,2260,54,28,Low,Low,Low,diammonium_phosphate_dap,Ammonium Sulphate
108,23,80,Chickpea,5.94,2130,61,18,Low,Optimal,Low,urea_mop_mixture,Elemental Sulphur
142,26,136,Groundnut,8.09,2999,67,26,Optimal,Low,Optimal,potassium_nitrate,Aluminium Sulphate
122,18,186,Chickpea,6.88,3450,78,28,Optimal,Optimal,Optimal,ammonium_sulphate,Ferrous Sulphate
157,24,125,Soybean,8.11,1737,74,22,Low,Optimal,Optimal,urea_ammonium_nitrate_uan,Agricultural Lime
191,14,67,Chickpea,6.26,866,77,19,Low,Optimal,Optimal,potassium_nitrate,Dolomite
130,27,78,Bajra,5.82,2021,60,28,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Wood Ash
126,35,153,Barley,6.98,2042,57,29,Low,Low,Optimal,rock_phosphate,Dolomite
100,19,67,Sugarcane,5.64,2815,66,26,Optimal,Low,Low,ammonium_nitrate,Aluminium Sulphate
150,19,189,Barley,8.18,1152,53,19,Low,Low,Low,sulphate_of_potash_sop,Aluminium Sulphate
70,26,140,Rice,7.41,2177,73,20,Optimal,Optimal,Optimal,urea,Wood Ash
119,20,125,Soybean,7.38,2412,51,15,Low,Low,Low,ammonium_chloride,Elemental Sulphur
107,18,117,Soybean,7.22,2690,60,27,Optimal,Low,Optimal,urea,Gypsum
78,11,183,Sugarcane,5.79,3259,70,21,Optimal,Optimal,Low,muriate_of_potash_mop,Balance Maintain
120,29,99,Wheat,7.1,1553,78,28,Low,Low,Low,urea_dap_mixture,Hydrated Lime
149,26,91,Jowar,7.4,1493,71,22,Low,Low,Optimal,calcium_ammonium_nitrate_can,Aluminium Sulphate
41,20,194,Moong,6.28,3378,50,22,Low,Optimal,Optimal,rock_phosphate,Balance Maintain
41,29,121,Bajra,6.21,1681,51,22,Low,Optimal,Optimal,potassium_carbonate,Ammonium Sulphate
71,13,150,Soybean,6.31,2456,62,25,Low,Optimal,Optimal,potassium_nitrate,Wood Ash
93,25,193,Sugarcane,7.77,1751,56,29,Low,Optimal,Low,diammonium_phosphate_dap,Dolomite
108,30,94,Groundnut,6.85,1918,71,28,Optimal,Optimal,Low,ammonium_chloride,Ferrous Sulphate
182,16,112,Ragi,7.55,2121,72,15,Optimal,Optimal,Optimal,ammonium_chloride,Ammonium Sulphate
173,15,147,Cotton,8.25,3257,79,22,Low,Optimal,Low,potassium_carbonate,Aluminium Sulphate
60,33,197,Chickpea,5.79,1493,54,22,Low,Low,Optimal,urea,Hydrated Lime
64,16,78,Moong,6.18,1133,64,26,Optimal,Low,Optimal,single_super_phosphate_ssp,Dolomite
192,10,74,Groundnut,6.73,1284,66,30,Low,Low,Optimal,urea,Aluminium Sulphate
68,12,67,Bajra,7.76,3339,80,22,Optimal,Low,Optimal,muriate_of_potash_mop,Aluminium Sulphate
76,33,191,Maize,6.48,2452,52,22,Optimal,Low,Low,urea_ammonium_nitrate_uan,Elemental Sulphur
143,30,190,Rice,7.6,3180,62,24,Low,Low,Optimal,triple_super_phosphate_tsp,Elemental Sulphur
92,25,114,Jowar,6.68,3264,77,28,Optimal,Optimal,Optimal,diammonium_phosphate_dap,Ferrous Sulphate
78,33,189,Cotton,5.77,1945,76,28,Optimal,Optimal,Low,ammonium_nitrate,Ferrous Sulphate
149,31,148,Bajra,6.82,1182,64,22,Optimal,Low,Optimal,potassium_nitrate,Gypsum
191,16,92,Moong,5.6,3202,76,30,Optimal,Optimal,Optimal,urea_mop_mixture,Ferrous Sulphate
107,32,90,Jowar,8.03,962,54,24,Optimal,Low,Low,ammonium_nitrate,Ferrous Sulphate
99,28,73,Soybean,8.04,1185,65,22,Low,Low,Low,ammonium_chloride,Ferrous Sulphate
139,13,89,Ragi,6.67,1044,58,16,Optimal,Optimal,Optimal,potassium_carbonate,Ferrous Sulphate
143,27,146,Groundnut,7.92,3481,59,30,Low,Optimal,Low,single_super_phosphate_ssp,Aluminium Sulphate
135,21,133,Jowar,7.09,3320,72,23,Low,Optimal,Optimal,diammonium_phosphate_dap,Gypsum
176,16,193,Rice,7.25,2396,59,21,Low,Optimal,Low,balanced_npk_maintenance,Aluminium Sulphate
96,35,186,Jowar,7.46,2070,50,20,Optimal,Optimal,Optimal,potassium_magnesium_sulphate,Gypsum
118,21,72,Groundnut,6.78,3387,78,29,Optimal,Low,Low,muriate_of_potash_mop,Dolomite
189,33,147,Barley,6.79,3346,58,20,Optimal,Optimal,Optimal,potassium_carbonate,Ammonium Sulphate
197,12,73,Mustard,5.82,1240,63,19,Low,Low,Optimal,ammonium_chloride,Hydrated Lime
113,35,71,Moong,6.29,821,80,18,Optimal,Low,Optimal,rock_phosphate,Elemental Sulphur
129,26,148,Onion,6.49,1570,63,30,Low,Low,Low,urea_ammonium_nitrate_uan,Balance Maintain
61,21,79,Onion,8.21,1338,50,21,Low,Low,Low,dap_mop_mixture,Gypsum
200,17,172,Wheat,8.04,1494,75,26,Optimal,Optimal,Low,diammonium_phosphate_dap,Ammonium Sulphate
139,20,153,Ragi,8.44,3188,63,22,Optimal,Low,Low,monoammonium_phosphate_map,Gypsum
180,19,154,Moong,6.63,3439,58,27,Low,Optimal,Optimal,potassium_nitrate,Ammonium Sulphate
192,31,174,Mustard,5.87,2474,74,22,Optimal,Low,Optimal,monoammonium_phosphate_map,Quicklime
48,18,113,Jowar,7.39,2954,66,21,Low,Low,Low,triple_super_phosphate_tsp,Balance Maintain
41,21,86,Ragi,6.54,1221,77,17,Optimal,Low,Optimal,ammonium_chloride,Dolomite
60,13,84,Soybean,8.49,1158,72,21,Low,Low,Low,urea_ammonium_nitrate_uan,Aluminium Sulphate
147,32,92,Jowar,5.97,3222,59,30,Optimal,Low,Low,calcium_ammonium_nitrate_can,Balance Maintain
161,26,107,Maize,8.35,2484,53,22,Low,Optimal,Optimal,single_super_phosphate_ssp,Wood Ash
161,17,153,Chickpea,6.6,1094,55,27,Optimal,Optimal,Low,rock_phosphate,Aluminium Sulphate
161,12,161,Onion,5.6,2361,72,16,Optimal,Low,Optimal,sulphate_of_potash_sop,Elemental Sulphur
132,19,145,Barley,8.29,1462,62,23,Low,Low,Optimal,potassium_carbonate,Ammonium Sulphate
197,34,176,Maize,5.61,2498,78,18,Optimal,Optimal,Low,urea_mop_mixture,Wood Ash
159,25,163,Ragi,7.32,2172,58,16,Optimal,Low,Optimal,rock_phosphate,Wood Ash
131,19,77,Chickpea,6.53,2727,68,20,Low,Optimal,Low,calcium_ammonium_nitrate_can,Ferrous Sulphate
185,19,147,Ragi,6.86,2306,78,21,Optimal,Low,Optimal,urea_ammonium_nitrate_uan,Hydrated Lime
111,10,71,Garlic,7.14,1332,60,16,Low,Optimal,Low,calcium_ammonium_nitrate_can,Agricultural Lime
104,29,154,Bajra,8.07,2660,72,15,Optimal,Optimal,Optimal,urea_mop_mixture,Wood Ash
41,15,102,Mustard,8.23,1548,55,15,Low,Optimal,Low,potassium_nitrate,Ammonium Sulphate
53,20,159,Garlic,8.23,2051,55,15,Low,Optimal,Optimal,potassium_nitrate,Gypsum
55,18,98,Wheat,8.14,1018,75,28,Optimal,Optimal,Low,ammonium_nitrate,Ammonium Sulphate
59,24,109,Sugarcane,8.17,2889,66,30,Low,Low,Optimal,urea_dap_mixture,Gypsum
61,34,181,Mustard,6.35,2082,63,19,Optimal,Optimal,Low,single_super_phosphate_ssp,Ammonium Sulphate
120,23,122,Cotton,6.61,1965,77,15,Low,Optimal,Low,diammonium_phosphate_dap,Elemental Sulphur
48,23,120,Bajra,8.15,1941,75,23,Optimal,Low,Optimal,single_super_phosphate_ssp,Elemental Sulphur
46,27,175,Moong,8.3,1151,60,18,Low,Optimal,Optimal,single_super_phosphate_ssp,Dolomite
129,19,66,Onion,7.99,1570,62,28,Optimal,Low,Optimal,urea_ammonium_nitrate_uan,Elemental Sulphur
63,26,166,Jowar,7.45,859,64,15,Optimal,Optimal,Optimal,ammonium_chloride,Elemental Sulphur
130,12,69,Groundnut,8.16,1392,51,23,Optimal,Low,Low,ammonium_nitrate,Ammonium Sulphate
190,24,83,Wheat,6.83,1697,51,24,Low,Low,Low,diammonium_phosphate_dap,Agricultural Lime
90,13,169,Wheat,6.51,2588,77,22,Optimal,Optimal,Low,balanced_npk_maintenance,Hydrated Lime
63,35,144,Cotton,6.81,876,72,19,Optimal,Low,Low,rock_phosphate,Quicklime
87,18,118,Chickpea,7.49,850,75,25,Low,Optimal,Low,single_super_phosphate_ssp,Aluminium Sulphate
195,26,126,Groundnut,7.4,942,52,29,Low,Low,Optimal,ammonium_chloride,Ammonium Sulphate
146,25,166,Mustard,6.23,2202,54,18,Optimal,Optimal,Optimal,ammonium_chloride,Balance Maintain
72,25,62,Soybean,6.09,2444,64,22,Low,Optimal,Optimal,single_super_phosphate_ssp,Agricultural Lime
162,30,126,Soybean,7.91,1955,75,25,Optimal,Low,Low,diammonium_phosphate_dap,Elemental Sulphur
80,13,151,Cotton,8.28,930,63,15,Optimal,Low,Optimal,single_super_phosphate_ssp,Elemental Sulphur
158,33,146,Sugarcane,8.14,2302,71,20,Optimal,Low,Optimal,potassium_carbonate,Elemental Sulphur
71,20,189,Mustard,8.32,1946,54,22,Optimal,Optimal,Optimal,sulphate_of_potash_sop,Gypsum
106,10,168,Chickpea,7.97,1483,72,24,Low,Low,Optimal,ammonium_nitrate,Quicklime
154,11,136,Moong,8.43,1251,72,21,Low,Optimal,Optimal,calcium_ammonium_nitrate_can,Hydrated Lime
182,29,170,Moong,7.2,1361,51,18,Low,Low,Optimal,urea_ammonium_nitrate_uan,Aluminium Sulphate
52,16,116,Groundnut,7.94,804,74,21,Optimal,Optimal,Optimal,potassium_carbonate,Wood Ash
108,15,113,Cotton,7.83,1054,80,18,Optimal,Optimal,Low,dap_mop_mixture,Elemental Sulphur
113,30,106,Jowar,7.53,1128,52,24,Optimal,Low,Low,rock_phosphate,Ammonium Sulphate
110,35,109,Maize,5.52,881,76,25,Low,Low,Optimal,urea_ammonium_nitrate_uan,Ferrous Sulphate
95,20,155,Ragi,7.28,2310,77,22,Optimal,Low,Low,potassium_magnesium_sulphate,Agricultural Lime
130,13,168,Sugarcane,7.44,3230,53,22,Optimal,Low,Optimal,balanced_npk_maintenance,Quicklime
188,19,114,Onion,6.21,1288,51,19,Low,Low,Optimal,urea_dap_mixture,Gypsum
120,21,98,Ragi,6.69,889,78,28,Low,Low,Low,potassium_nitrate,Gypsum
139,17,196,Wheat,6.68,2326,50,19,Optimal,Optimal,Low,urea,Quicklime
47,25,85,Jowar,7.84,2488,79,23,Optimal,Low,Low,single_super_phosphate_ssp,Dolomite
155,28,82,Bajra,7.98,2971,71,21,Optimal,Low,Optimal,single_super_phosphate_ssp,Quicklime
